"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
"479",5,4,4,4,4,5,5,5,6,"Marca_3"
"480",4,4,3,4,5,4,5,5,2,"Marca_3"
"481",5,4,5,4,6,4,5,3,4,"Marca_3"
"482",3,2,4,4,4,5,5,5,5,"Marca_1"
"483",4,6,2,3,3,2,3,2,1,"Marca_1"
"484",4,5,3,4,4,4,4,4,4,"Marca_1"
"485",3,4,3,3,2,4,3,4,4,"Marca_3"
"486",3,2,4,1,4,5,5,3,4,"Marca_1"
"487",5,5,5,5,5,4,4,4,3,"Marca_1"
"488",4,2,2,2,3,5,6,4,4,"Marca_2"
"489",4,3,4,4,4,5,4,3,3,"Marca_1"
"490",3,4,4,4,3,5,4,3,5,"Marca_3"
"491",4,5,3,4,3,5,3,5,4,"Marca_2"
"492",6,4,3,4,4,5,4,1,3,"Marca_1"
"493",6,6,3,3,4,7,3,5,4,"Marca_2"
"494",2,1,3,4,5,3,4,3,2,"Marca_2"
"495",4,4,4,5,4,3,5,5,3,"Marca_1"
"496",5,3,4,4,5,5,4,4,4,"Marca_3"
"497",5,5,5,3,4,4,4,5,4,"Marca_1"
"498",5,5,4,5,4,5,4,4,2,"Marca_2"
"499",3,4,5,6,4,4,2,3,4,"Marca_2"
"500",4,3,5,4,4,2,5,2,3,"Marca_1"
"501",3,3,3,5,2,3,3,3,4,"Marca_3"
"502",4,4,3,4,2,5,5,5,3,"Marca_1"
"503",5,4,3,4,3,5,4,5,4,"Marca_2"
"504",3,2,5,4,4,4,4,3,5,"Marca_4"
"505",5,3,3,4,3,4,4,3,3,"Marca_2"
"506",6,5,4,4,3,4,3,6,5,"Marca_3"
"507",5,5,5,5,4,6,5,5,4,"Marca_2"
"508",4,1,2,2,2,6,4,3,3,"Marca_3"
"509",4,5,6,4,4,3,4,3,3,"Marca_1"
"510",5,4,5,4,5,4,3,4,4,"Marca_1"
"511",3,2,6,5,5,4,5,5,5,"Marca_1"
"512",3,5,5,4,5,4,5,5,5,"Marca_1"
"513",4,4,3,4,4,3,4,3,3,"Marca_1"
"514",4,4,5,5,6,4,5,4,2,"Marca_1"
"515",4,2,3,2,3,5,2,5,3,"Marca_1"
"516",5,3,3,4,5,3,5,5,6,"Marca_2"
"517",4,3,4,3,2,5,5,3,4,"Marca_2"
"518",4,1,3,2,3,5,3,5,4,"Marca_2"
"519",5,4,4,6,6,4,5,5,5,"Marca_2"
"520",4,2,6,4,5,4,4,6,4,"Marca_1"
"521",3,2,4,5,5,4,4,4,4,"Marca_1"
"522",5,3,5,4,4,4,3,4,4,"Marca_1"
"523",2,4,4,4,4,3,5,5,4,"Marca_1"
"524",6,6,4,4,5,4,3,4,4,"Marca_1"
"525",5,4,4,4,5,4,4,3,4,"Marca_2"
"526",4,4,6,6,6,5,5,3,4,"Marca_4"
"527",4,3,4,5,5,4,4,6,4,"Marca_2"
"528",5,5,3,4,2,6,3,4,4,"Marca_3"
"529",5,4,5,6,5,3,4,4,4,"Marca_1"
"530",4,3,2,4,4,5,3,5,5,"Marca_3"
"531",5,4,2,3,3,4,5,5,4,"Marca_2"
"532",5,5,4,4,3,4,6,2,3,"Marca_2"
"533",4,5,5,4,5,4,4,4,3,"Marca_1"
"534",4,3,4,6,3,4,5,3,4,"Marca_1"
"535",5,4,2,4,3,5,3,5,4,"Marca_2"
"536",3,4,4,5,3,2,3,2,2,"Marca_2"
"537",4,3,4,4,4,4,3,2,4,"Marca_2"
"538",5,5,6,4,3,4,3,5,4,"Marca_1"
"539",5,4,2,4,3,4,4,4,3,"Marca_3"
"540",5,5,4,4,5,4,3,3,5,"Marca_2"
"541",2,2,3,3,2,2,3,4,3,"Marca_1"
"542",3,3,4,6,5,3,5,4,5,"Marca_1"
"543",4,3,4,5,3,3,3,6,4,"Marca_2"
"544",5,3,2,5,4,6,5,4,3,"Marca_2"
"545",5,5,5,5,5,4,3,4,2,"Marca_1"
"546",4,5,5,3,5,5,5,6,3,"Marca_4"
"547",4,3,2,3,2,4,4,4,4,"Marca_3"
"548",3,4,4,4,3,7,3,5,4,"Marca_3"
"549",2,1,4,4,5,4,4,2,5,"Marca_1"
"550",5,5,5,5,4,3,3,2,3,"Marca_4"
"551",3,2,4,5,3,4,4,4,4,"Marca_1"
"552",4,5,3,5,4,5,4,7,5,"Marca_2"
"553",5,4,3,3,3,4,3,4,4,"Marca_3"
"554",5,4,4,3,4,5,5,4,4,"Marca_3"
"555",5,5,3,2,3,5,3,3,4,"Marca_2"
"556",4,4,4,3,5,4,4,3,4,"Marca_2"
"557",4,4,5,4,4,5,3,4,5,"Marca_1"
"558",3,4,4,4,4,5,5,4,4,"Marca_1"
"559",3,4,3,5,4,2,3,3,4,"Marca_1"
"560",3,4,3,5,4,4,3,2,4,"Marca_1"
"561",4,3,5,4,5,4,5,4,3,"Marca_1"
"562",4,3,3,4,2,5,4,4,4,"Marca_2"
"563",4,4,3,3,5,4,4,3,3,"Marca_2"
"564",5,5,5,4,4,6,3,5,4,"Marca_2"
"565",5,5,3,5,3,3,4,3,3,"Marca_4"
"566",5,2,3,3,3,4,4,4,3,"Marca_1"
"567",4,2,3,4,3,4,3,4,3,"Marca_2"
"568",4,3,3,5,3,4,2,2,4,"Marca_2"
"569",6,5,2,4,3,4,3,3,3,"Marca_2"
"570",5,4,5,4,4,4,5,5,4,"Marca_3"
"571",6,5,6,5,4,5,3,4,4,"Marca_2"
"572",5,3,5,5,5,6,4,5,4,"Marca_1"
"573",4,3,3,3,3,5,3,3,5,"Marca_3"
"574",4,3,3,4,4,5,5,5,3,"Marca_1"
"575",4,5,5,5,4,3,5,3,2,"Marca_1"
"576",5,5,4,4,4,2,3,3,4,"Marca_1"
"577",3,3,4,4,2,3,2,4,3,"Marca_2"
"578",3,3,5,5,4,5,4,3,4,"Marca_2"
"579",5,3,4,5,5,7,4,5,5,"Marca_2"
"580",5,4,5,6,5,4,4,5,4,"Marca_1"
"581",2,3,4,4,5,2,6,4,2,"Marca_4"
"582",4,4,2,4,3,4,4,4,3,"Marca_2"
"583",4,4,3,3,3,5,2,5,5,"Marca_3"
"584",3,3,5,4,4,3,4,3,2,"Marca_1"
"585",5,5,4,4,4,2,2,2,3,"Marca_1"
"586",4,3,5,3,4,4,4,3,4,"Marca_2"
"587",4,4,6,6,5,4,4,3,4,"Marca_1"
"588",4,4,4,4,5,3,4,4,4,"Marca_1"
"589",3,3,3,4,3,5,6,3,4,"Marca_2"
"590",4,4,4,4,4,5,1,4,2,"Marca_1"
"591",4,3,5,4,5,4,5,4,3,"Marca_2"
"592",4,4,3,3,3,4,3,3,2,"Marca_1"
"593",3,2,4,4,4,3,4,3,2,"Marca_1"
"594",5,4,3,4,4,6,5,4,5,"Marca_3"
"595",6,6,3,4,4,5,4,4,5,"Marca_1"
"596",4,5,3,4,4,4,5,5,5,"Marca_2"
"597",4,2,5,5,3,3,3,5,4,"Marca_1"
"598",3,3,5,4,2,3,5,4,3,"Marca_1"
"599",3,2,2,2,4,5,3,4,4,"Marca_1"
"600",4,4,3,3,4,4,5,4,5,"Marca_1"
"601",4,5,3,3,6,6,3,5,4,"Marca_1"
"602",3,3,4,4,4,5,4,4,4,"Marca_1"
"603",6,4,5,4,3,5,5,5,5,"Marca_2"
"604",3,4,3,4,3,3,4,3,3,"Marca_2"
"605",4,2,4,5,4,4,4,4,5,"Marca_2"
"606",4,3,4,4,2,5,4,4,3,"Marca_2"
"607",5,4,4,3,6,4,5,6,4,"Marca_4"
"608",5,4,4,3,4,4,5,5,4,"Marca_2"
"609",5,3,5,5,4,5,4,3,4,"Marca_2"
"610",4,4,4,3,2,4,4,4,3,"Marca_1"
"611",4,4,4,3,3,6,6,4,5,"Marca_1"
"612",5,4,1,3,3,6,4,4,5,"Marca_3"
"613",5,5,4,5,4,4,4,4,5,"Marca_2"
"614",6,4,3,3,1,4,4,4,4,"Marca_2"
"615",4,4,6,5,4,3,4,3,4,"Marca_4"
"616",3,4,4,6,3,4,5,3,2,"Marca_1"
"617",5,5,4,5,3,4,4,6,5,"Marca_2"
"618",4,3,4,4,5,5,5,5,3,"Marca_2"
"619",5,6,4,3,3,3,4,5,3,"Marca_1"
"620",4,3,4,5,4,5,4,5,4,"Marca_2"
"621",4,3,2,2,4,4,4,3,3,"Marca_1"
"622",3,4,4,4,2,4,4,2,3,"Marca_2"
"623",5,5,4,2,3,4,5,4,3,"Marca_1"
"624",4,1,5,5,5,3,4,2,3,"Marca_2"
"625",4,5,5,5,3,4,4,4,2,"Marca_2"
"626",4,4,3,5,4,2,4,3,3,"Marca_1"
"627",3,3,4,3,4,3,4,2,2,"Marca_1"
"628",4,4,3,4,5,6,5,4,6,"Marca_3"
"629",4,5,5,6,5,6,3,5,5,"Marca_2"
"630",5,6,2,3,3,6,4,5,4,"Marca_3"
"631",5,4,3,3,3,3,3,4,3,"Marca_3"
"632",5,4,4,5,3,4,5,3,3,"Marca_1"
"633",5,5,3,3,5,4,5,5,3,"Marca_1"
"634",5,4,3,4,4,5,5,5,3,"Marca_3"
"635",4,5,5,4,5,4,6,5,4,"Marca_1"
"636",7,4,4,3,4,5,4,4,5,"Marca_3"
"637",3,3,4,3,3,4,4,2,4,"Marca_1"
"638",4,2,3,4,3,3,5,2,2,"Marca_2"
"639",5,5,5,5,3,4,3,3,3,"Marca_3"
"640",4,4,4,4,5,4,5,2,5,"Marca_2"
"641",6,5,3,5,4,5,3,5,5,"Marca_2"
"642",5,5,4,4,4,4,3,4,4,"Marca_3"
"643",3,3,5,5,5,3,6,2,3,"Marca_4"
"644",4,3,6,5,3,5,4,4,4,"Marca_2"
"645",4,5,3,5,3,5,4,5,4,"Marca_2"
"646",5,3,4,4,4,4,5,2,3,"Marca_2"
"647",5,3,4,5,5,4,5,4,3,"Marca_1"
"648",4,2,4,4,6,4,5,3,5,"Marca_2"
"649",6,4,4,5,5,6,6,3,4,"Marca_4"
"650",5,5,6,3,6,5,5,5,5,"Marca_2"
"651",4,5,2,3,3,5,4,3,3,"Marca_2"
"652",4,2,4,6,3,4,4,3,5,"Marca_2"
"653",5,4,4,4,5,5,3,5,4,"Marca_2"
"654",4,4,1,3,3,4,4,5,4,"Marca_2"
"655",4,3,3,4,3,4,4,4,2,"Marca_2"
"656",4,4,6,5,4,3,4,3,3,"Marca_2"
"657",3,4,3,2,4,3,3,3,4,"Marca_2"
"658",5,4,5,5,4,5,7,3,5,"Marca_1"
"659",5,4,5,6,4,4,5,4,4,"Marca_3"
"660",5,4,4,5,4,5,5,5,6,"Marca_1"
"661",4,3,3,4,5,5,5,4,4,"Marca_2"
"662",4,5,3,5,3,5,3,4,4,"Marca_1"
"663",3,3,5,3,5,3,5,5,3,"Marca_4"
"664",4,4,4,2,5,5,2,4,3,"Marca_2"
"665",6,4,4,4,3,4,3,6,5,"Marca_1"
"666",6,4,5,5,4,6,4,3,5,"Marca_2"
"667",3,5,6,4,4,2,5,5,2,"Marca_1"
"668",3,3,3,3,4,3,4,3,3,"Marca_3"
"669",5,5,5,4,5,4,3,4,3,"Marca_1"
"670",3,2,6,5,3,4,4,4,5,"Marca_3"
"671",4,4,4,5,2,6,2,3,4,"Marca_3"
"672",3,3,3,4,6,4,3,1,3,"Marca_4"
"673",3,5,2,3,1,3,3,3,3,"Marca_2"
"674",3,3,5,2,3,4,4,4,4,"Marca_2"
"675",5,4,4,4,4,3,4,3,4,"Marca_2"
"676",2,3,4,4,5,4,5,6,5,"Marca_3"
"677",2,2,5,5,4,2,4,2,3,"Marca_1"
"678",4,5,4,3,3,5,5,4,6,"Marca_3"
"679",5,5,2,2,2,4,2,3,4,"Marca_3"
"680",5,4,5,4,6,5,4,4,2,"Marca_4"
"681",4,2,2,2,4,4,4,3,3,"Marca_1"
"682",4,4,3,3,4,5,4,4,4,"Marca_2"
"683",3,2,4,5,3,3,4,4,4,"Marca_2"
"684",6,5,3,4,4,4,3,3,3,"Marca_4"
"685",5,5,5,4,5,3,4,4,2,"Marca_1"
"686",5,4,5,6,5,4,6,5,3,"Marca_2"
"687",5,3,5,5,4,5,3,4,4,"Marca_2"
"688",5,4,3,6,5,4,4,3,4,"Marca_2"
"689",4,4,4,4,3,5,3,2,3,"Marca_3"
"690",5,3,4,4,4,3,4,5,4,"Marca_3"
"691",4,2,5,4,5,3,5,4,2,"Marca_2"
"692",4,4,4,4,4,5,6,4,4,"Marca_1"
"693",5,5,3,4,4,5,5,5,5,"Marca_1"
"694",4,5,5,4,4,5,4,5,5,"Marca_1"
"695",5,4,3,4,5,4,4,3,5,"Marca_2"
"696",6,4,5,3,4,4,4,6,4,"Marca_2"
"697",5,5,4,6,5,3,4,5,3,"Marca_1"
"698",3,3,4,3,4,4,4,5,4,"Marca_2"
"699",5,6,2,3,4,5,3,4,5,"Marca_3"
"700",4,4,4,4,4,5,3,4,4,"Marca_2"
"701",4,4,5,5,5,4,5,4,3,"Marca_2"
"702",6,5,2,3,2,4,5,4,3,"Marca_2"
"703",3,4,4,3,4,4,2,3,2,"Marca_2"
"704",4,2,4,4,3,4,5,4,5,"Marca_2"
"705",5,4,6,6,5,4,6,4,4,"Marca_4"
"706",6,5,6,4,5,5,4,4,5,"Marca_2"
"707",5,5,4,4,4,4,2,3,3,"Marca_1"
"708",5,4,2,2,3,3,4,3,3,"Marca_2"
"709",6,5,4,4,4,5,4,7,6,"Marca_3"
"710",3,4,3,4,5,4,5,5,4,"Marca_1"
"711",4,5,3,4,4,5,3,3,3,"Marca_1"
"712",5,5,5,4,3,5,3,5,4,"Marca_2"
"713",4,3,6,3,4,6,5,5,5,"Marca_2"
"714",5,3,2,5,4,5,3,4,4,"Marca_2"
"715",4,5,4,3,4,3,6,2,3,"Marca_3"
"716",4,4,4,3,3,4,4,3,4,"Marca_2"
"717",4,4,3,2,3,5,3,5,3,"Marca_3"
"718",3,4,5,4,6,5,5,3,4,"Marca_1"
"719",4,5,5,5,4,4,5,4,4,"Marca_1"
"720",6,5,5,4,4,4,5,6,4,"Marca_2"
"721",5,5,2,2,3,4,3,4,3,"Marca_3"
"722",5,5,6,5,5,2,3,4,3,"Marca_4"
"723",4,4,6,6,5,4,4,4,4,"Marca_1"
"724",5,4,4,3,4,5,3,6,4,"Marca_2"
"725",5,3,4,4,4,3,5,3,4,"Marca_2"
"726",4,2,5,5,4,6,4,3,4,"Marca_2"
"727",5,5,2,3,4,4,2,5,4,"Marca_2"
"728",4,4,5,6,5,5,5,3,3,"Marca_4"
"729",2,2,3,2,2,3,3,4,4,"Marca_3"
"730",3,5,4,3,3,4,2,2,3,"Marca_1"
"731",5,4,5,4,4,6,5,4,3,"Marca_1"
"732",4,5,4,3,4,4,3,4,3,"Marca_2"
"733",4,4,4,3,5,4,4,6,3,"Marca_2"
"734",5,4,3,4,4,4,5,5,4,"Marca_3"
"735",3,5,4,4,4,4,4,4,3,"Marca_2"
"736",6,5,4,5,4,4,4,6,4,"Marca_2"
"737",4,3,5,5,4,3,5,3,4,"Marca_2"
"738",5,3,4,5,4,5,5,4,4,"Marca_2"
"739",4,3,3,4,4,4,5,3,4,"Marca_1"
"740",4,3,3,3,3,5,4,3,3,"Marca_3"
"741",4,5,3,5,5,4,3,3,3,"Marca_1"
"742",2,4,3,4,3,4,3,2,3,"Marca_3"
"743",3,1,7,3,4,3,6,3,3,"Marca_4"
"744",3,3,5,4,4,7,5,3,5,"Marca_2"
"745",4,3,4,5,5,4,4,5,4,"Marca_3"
"746",5,4,2,4,4,5,5,3,3,"Marca_3"
"747",2,2,5,5,4,3,5,4,4,"Marca_2"
"748",4,4,4,4,5,6,5,4,4,"Marca_2"
"749",4,5,4,5,4,4,4,3,3,"Marca_3"
"750",6,4,4,4,3,4,4,5,4,"Marca_3"
"751",2,3,4,6,5,3,5,2,3,"Marca_1"
"752",4,4,4,4,3,4,4,4,3,"Marca_1"
"753",3,3,5,5,4,4,6,4,4,"Marca_1"
"754",4,4,3,4,4,5,5,3,4,"Marca_1"
"755",5,5,4,3,3,5,3,3,2,"Marca_2"
"756",6,6,5,4,5,6,5,4,4,"Marca_1"
"757",3,3,5,5,5,3,5,3,2,"Marca_1"
"758",6,5,2,4,3,4,4,4,4,"Marca_2"
"759",5,3,4,5,4,5,4,3,4,"Marca_2"
"760",3,3,3,5,3,4,5,3,3,"Marca_2"
"761",3,5,4,4,3,5,3,3,4,"Marca_4"
"762",4,5,3,4,6,5,4,4,4,"Marca_2"
"763",6,2,5,5,3,5,3,5,4,"Marca_2"
"764",4,4,5,4,5,3,4,2,3,"Marca_1"
"765",4,4,5,3,4,4,5,4,3,"Marca_4"
"766",5,3,5,5,5,4,5,5,4,"Marca_1"
"767",4,4,3,3,1,4,3,3,2,"Marca_2"
"768",6,6,5,5,5,5,4,5,5,"Marca_2"
"769",2,2,4,6,4,2,4,5,4,"Marca_1"
"770",4,3,5,5,6,3,5,2,3,"Marca_4"
"771",4,5,4,5,4,5,5,4,2,"Marca_1"
"772",4,3,3,4,3,3,4,5,4,"Marca_1"
"773",2,2,5,5,4,6,4,4,5,"Marca_2"
"774",5,3,6,4,5,5,5,5,4,"Marca_1"
"775",3,3,3,6,4,3,6,4,5,"Marca_1"
"776",4,3,3,6,4,5,3,5,6,"Marca_3"
"777",6,6,3,3,4,5,4,5,4,"Marca_1"
"778",5,3,5,3,3,5,5,4,4,"Marca_3"
"779",5,3,2,3,3,5,4,4,5,"Marca_3"
"780",5,4,5,5,5,5,4,5,5,"Marca_2"
"781",3,4,3,2,3,5,3,4,4,"Marca_3"
"782",4,5,4,4,3,4,4,2,3,"Marca_2"
"783",4,4,5,4,5,4,4,3,2,"Marca_4"
"784",5,2,5,5,5,5,5,4,4,"Marca_1"
"785",4,5,4,4,4,5,4,5,4,"Marca_2"
"786",3,2,2,3,2,4,4,4,3,"Marca_3"
"787",4,3,6,6,6,4,3,4,4,"Marca_4"
"788",4,5,4,4,5,3,4,5,4,"Marca_1"
"789",3,4,5,4,3,5,5,3,2,"Marca_1"
"790",4,3,3,3,1,4,4,4,2,"Marca_3"
"791",4,4,3,3,3,3,4,4,3,"Marca_1"
"792",4,4,3,4,2,5,3,4,5,"Marca_2"
"793",5,6,4,6,5,3,6,4,3,"Marca_4"
"794",5,4,4,5,5,5,5,4,4,"Marca_4"
"795",5,5,3,5,3,6,4,5,5,"Marca_1"
"796",4,2,3,4,5,4,6,4,4,"Marca_1"
"797",4,4,3,4,3,6,3,4,5,"Marca_2"
"798",4,5,4,4,4,2,6,4,4,"Marca_3"
"799",4,4,5,3,3,4,4,3,3,"Marca_2"
"800",4,5,4,5,5,5,3,4,4,"Marca_1"
"801",4,6,4,5,4,4,5,5,3,"Marca_2"
"802",4,5,5,3,4,3,4,3,3,"Marca_1"
"803",5,4,5,3,3,4,3,6,5,"Marca_3"
"804",4,3,4,4,3,4,5,5,5,"Marca_2"
"805",3,3,3,5,2,3,3,4,4,"Marca_2"
"806",5,4,4,7,4,4,5,3,3,"Marca_1"
"807",4,4,4,3,3,5,4,5,3,"Marca_2"
"808",4,4,3,3,4,3,5,3,4,"Marca_2"
"809",3,3,4,4,5,5,5,5,4,"Marca_2"
"810",4,4,5,4,3,3,5,2,4,"Marca_1"
"811",4,3,3,5,3,4,3,4,3,"Marca_1"
"812",4,3,4,3,3,2,3,3,4,"Marca_1"
"813",4,4,6,5,5,6,5,5,5,"Marca_2"
"814",3,4,5,5,3,5,4,6,5,"Marca_2"
"815",3,6,3,2,2,3,3,5,2,"Marca_1"
"816",3,4,5,5,5,4,4,4,3,"Marca_1"
"817",4,2,2,3,3,4,5,4,4,"Marca_3"
"818",4,3,5,5,4,5,6,4,4,"Marca_1"
"819",4,5,5,5,6,4,6,3,3,"Marca_1"
"820",6,5,6,6,5,4,4,4,4,"Marca_1"
"821",4,4,5,3,4,5,4,5,4,"Marca_1"
"822",4,4,5,5,5,6,3,4,4,"Marca_1"
"823",4,3,4,4,4,4,5,4,4,"Marca_2"
"824",4,4,4,4,4,3,5,5,5,"Marca_2"
"825",5,3,3,4,3,4,5,5,5,"Marca_3"
"826",5,5,5,4,5,4,5,4,3,"Marca_4"
"827",3,5,4,5,3,4,5,4,3,"Marca_2"
"828",5,3,4,4,3,5,5,4,4,"Marca_1"
"829",4,3,4,3,2,4,2,5,4,"Marca_2"
"830",3,3,3,2,3,4,3,2,3,"Marca_1"
"831",5,4,3,5,5,5,4,5,5,"Marca_2"
"832",4,3,2,4,3,3,3,5,3,"Marca_2"
"833",5,5,4,4,4,5,3,4,5,"Marca_2"
"834",4,4,5,6,4,5,6,5,5,"Marca_2"
"835",4,5,3,4,3,3,4,3,5,"Marca_1"
"836",5,4,4,6,5,5,4,6,5,"Marca_1"
"837",5,5,5,4,4,4,4,4,4,"Marca_1"
"838",3,3,3,3,3,4,3,3,2,"Marca_1"
"839",6,5,4,3,4,5,3,4,3,"Marca_1"
"840",4,3,3,3,2,3,5,3,4,"Marca_1"
"841",6,4,3,3,3,4,4,3,3,"Marca_2"
"842",4,3,5,4,3,5,5,4,4,"Marca_2"
"843",6,4,5,4,4,4,4,4,4,"Marca_2"
"844",4,5,6,5,4,3,6,2,1,"Marca_4"
"845",4,5,6,5,6,4,4,3,3,"Marca_4"
"846",3,4,4,3,4,5,4,4,3,"Marca_1"
"847",4,4,7,4,5,5,6,5,4,"Marca_1"
"848",4,3,5,7,4,3,4,2,5,"Marca_1"
"849",3,2,5,3,5,3,3,5,4,"Marca_2"
"850",6,6,5,4,4,4,4,5,5,"Marca_1"
"851",5,4,2,2,4,4,5,4,5,"Marca_2"
"852",5,2,4,4,7,6,4,5,4,"Marca_4"
"853",4,3,3,3,2,3,4,3,3,"Marca_2"
"854",5,5,3,6,3,3,5,4,3,"Marca_1"
"855",6,5,3,4,2,5,3,4,4,"Marca_3"
"856",5,5,4,3,5,4,4,4,3,"Marca_1"
"857",3,4,5,3,5,4,4,5,3,"Marca_1"
"858",4,4,6,5,4,4,5,5,4,"Marca_1"
"859",3,4,4,3,4,1,3,3,3,"Marca_1"
"860",3,4,4,4,5,3,4,4,3,"Marca_1"
"861",2,3,4,3,5,5,5,3,2,"Marca_1"
"862",5,4,2,2,2,5,4,5,4,"Marca_3"
"863",5,5,4,3,4,5,6,3,3,"Marca_1"
"864",5,4,3,6,3,3,3,3,3,"Marca_1"
"865",3,3,5,5,5,4,5,4,4,"Marca_2"
"866",6,5,5,3,3,3,4,2,3,"Marca_1"
"867",4,5,3,3,1,4,4,5,4,"Marca_2"
"868",4,4,5,4,5,5,4,5,6,"Marca_1"
"869",5,4,5,3,3,4,4,3,5,"Marca_2"
"870",4,4,4,4,4,5,5,4,4,"Marca_1"
"871",4,4,3,2,5,4,3,2,3,"Marca_4"
"872",6,6,2,4,3,4,3,4,4,"Marca_1"
"873",6,3,4,2,4,3,4,3,2,"Marca_1"
"874",4,4,4,4,4,4,5,4,4,"Marca_1"
"875",4,5,5,2,4,3,6,3,2,"Marca_1"
"876",5,4,3,3,5,5,3,3,3,"Marca_1"
"877",3,4,4,4,4,4,3,2,2,"Marca_4"
"878",3,2,4,5,5,4,4,3,4,"Marca_1"
"879",6,4,5,4,6,6,5,4,5,"Marca_4"
"880",4,4,7,4,3,3,3,2,4,"Marca_1"
"881",5,5,2,3,2,4,3,4,4,"Marca_3"
"882",4,2,4,5,3,4,5,3,4,"Marca_3"
"883",4,4,5,4,4,5,2,2,4,"Marca_2"
"884",4,3,5,4,4,4,3,4,3,"Marca_1"
"885",4,2,4,4,3,4,5,4,3,"Marca_1"
"886",4,5,3,3,3,6,4,5,4,"Marca_2"
"887",5,5,3,4,4,6,5,6,5,"Marca_2"
"888",5,3,4,3,3,4,5,5,4,"Marca_3"
"889",4,4,5,6,5,5,5,3,4,"Marca_1"
"890",3,3,4,5,4,5,4,5,4,"Marca_2"
"891",4,4,4,4,3,3,4,3,4,"Marca_1"
"892",3,5,4,5,4,4,4,4,2,"Marca_2"
"893",4,1,2,5,4,4,4,6,5,"Marca_2"
"894",4,4,3,3,3,3,3,4,3,"Marca_3"
"895",4,4,4,5,3,5,4,5,4,"Marca_2"
"896",4,3,4,4,5,3,4,2,3,"Marca_2"
"897",5,5,6,5,6,4,5,1,2,"Marca_4"
"898",3,2,4,5,4,5,5,4,3,"Marca_1"
"899",5,4,3,3,3,6,4,4,2,"Marca_2"
"900",4,4,3,2,4,3,4,4,3,"Marca_3"
"901",5,4,4,6,3,5,3,5,4,"Marca_2"
"902",5,4,4,4,5,5,5,5,4,"Marca_1"
"903",4,5,5,5,3,2,5,3,3,"Marca_2"
"904",5,5,3,4,4,5,4,5,5,"Marca_2"
"905",5,4,5,4,5,6,5,4,4,"Marca_1"
"906",5,4,4,4,3,4,5,3,3,"Marca_2"
"907",5,5,3,4,4,3,4,5,4,"Marca_3"
"908",4,5,5,5,5,4,5,3,2,"Marca_4"
"909",4,3,4,3,5,3,4,3,4,"Marca_1"
"910",5,4,5,4,4,4,3,4,4,"Marca_1"
"911",2,3,4,6,2,3,5,2,2,"Marca_2"
"912",3,4,3,3,4,5,1,4,3,"Marca_3"
"913",5,4,4,4,3,4,3,4,4,"Marca_3"
"914",4,4,3,4,3,5,4,4,4,"Marca_2"
"915",4,4,3,4,4,5,4,4,4,"Marca_1"
"916",3,3,5,3,4,5,5,4,3,"Marca_3"
"917",5,5,5,5,5,5,5,5,5,"Marca_1"
"918",4,4,5,3,4,5,4,3,6,"Marca_2"
"919",5,3,4,3,4,5,5,5,5,"Marca_2"
"920",4,2,5,5,3,4,3,5,4,"Marca_4"
"921",5,4,4,3,4,4,3,5,4,"Marca_2"
"922",4,6,3,4,3,4,7,4,2,"Marca_2"
"923",5,4,2,2,3,3,3,3,4,"Marca_2"
"924",4,5,2,3,2,3,4,2,2,"Marca_2"
"925",3,3,4,5,6,3,5,4,4,"Marca_2"
"926",4,4,4,5,3,4,4,4,4,"Marca_1"
"927",4,4,3,4,4,5,4,1,4,"Marca_2"
"928",5,3,4,4,4,6,4,5,4,"Marca_2"
"929",4,2,3,4,5,3,4,5,3,"Marca_3"
"930",3,2,3,4,4,4,5,5,4,"Marca_3"
"931",5,5,3,3,2,6,3,3,5,"Marca_2"
"932",5,4,6,4,4,4,3,5,4,"Marca_1"
"933",5,5,2,3,3,5,3,6,4,"Marca_3"
"934",5,4,3,3,3,5,4,6,5,"Marca_3"
"935",6,4,5,4,4,4,3,4,3,"Marca_2"
"936",5,5,3,6,2,4,5,4,4,"Marca_2"
"937",5,3,4,3,3,5,3,3,5,"Marca_3"
"938",5,5,5,4,4,4,3,4,4,"Marca_3"
"939",5,3,3,4,2,4,4,5,4,"Marca_3"
"940",6,4,5,4,4,5,5,4,2,"Marca_1"
"941",5,5,5,3,4,6,4,5,5,"Marca_2"
"942",5,5,4,4,4,3,5,2,2,"Marca_2"
"943",4,5,4,4,4,4,5,3,3,"Marca_1"
"944",4,3,3,6,3,3,3,3,4,"Marca_1"
"945",3,2,2,2,3,2,3,3,2,"Marca_2"
"946",3,3,5,5,4,3,4,3,3,"Marca_1"
"947",4,4,5,4,4,6,3,4,4,"Marca_2"
"948",5,3,3,2,2,5,4,5,5,"Marca_3"
"949",4,2,3,4,3,6,5,4,3,"Marca_1"
"950",5,4,3,3,3,5,3,3,5,"Marca_3"
"951",6,5,5,4,4,5,3,5,4,"Marca_1"
"952",6,5,3,4,3,6,4,5,4,"Marca_1"
"953",4,4,4,3,3,4,4,5,4,"Marca_2"
"954",4,3,6,4,4,5,6,3,5,"Marca_1"
"955",3,3,3,3,4,4,3,3,3,"Marca_2"
"956",4,5,4,4,4,6,6,4,4,"Marca_2"
"957",5,4,3,4,3,3,3,4,3,"Marca_1"
"958",4,1,4,4,3,5,4,5,5,"Marca_3"
